order_id,order_date,customer_id,product_id,product_name,product_category,quantity,unit_price,discount,sales_amount,region
ORD-000259,2024-01-01,CUST-00962,PROD-5259,Standing Desk,Furniture,3,967.42,0.0,2902.25,Asia Pacific
ORD-002936,2024-01-01,CUST-00231,PROD-3498,Conference Table,Furniture,1,706.16,0.0,706.16,Asia Pacific
ORD-000427,2024-01-01,CUST-00020,PROD-2368,Smartphone X,Electronics,1,1739.18,0.1,1565.26,Europe
ORD-004324,2024-01-01,CUST-00873,PROD-5259,Standing Desk,Furniture,3,1265.15,0.2,3036.37,Latin America
ORD-000047,2024-01-01,CUST-00720,PROD-6302,Printer,Office Supplies,2,48.95,0.05,93.0,North America
ORD-004511,2024-01-01,CUST-00529,PROD-0317,Pens Set,Office Supplies,3,189.35,0.0,568.06,Asia Pacific
ORD-003811,2024-01-01,CUST-00123,PROD-4871,Organizer,Office Supplies,1,55.5,0.1,49.95,Europe
ORD-000598,2024-01-01,CUST-00230,PROD-4871,Organizer,Office Supplies,5,103.54,0.05,491.8,North America
ORD-002932,2024-01-01,CUST-00554,PROD-8992,Cloud Storage,Software,1,510.48,0.05,484.95,Europe
ORD-003810,2024-01-01,CUST-00946,PROD-5259,Standing Desk,Furniture,1,1420.51,0.0,1420.51,Europe
ORD-003655,2024-01-01,CUST-00187,PROD-9308,Bookshelf,Furniture,2,755.69,0.0,1511.39,Middle East
ORD-003335,2024-01-01,CUST-00578,PROD-6530,Headphones,Electronics,2,877.26,0.0,1754.53,Middle East
ORD-001815,2024-01-01,CUST-00632,PROD-3850,Paper Pack,Office Supplies,1,60.29,0.2,48.23,North America
ORD-004554,2024-01-01,CUST-00504,PROD-4871,Organizer,Office Supplies,3,124.3,0.0,372.89,Europe
ORD-004400,2024-01-01,CUST-00567,PROD-2548,Project Manager,Software,1,444.8,0.0,444.8,Middle East
ORD-003672,2024-01-01,CUST-00678,PROD-2368,Smartphone X,Electronics,2,2026.35,0.05,3850.06,North America
ORD-004594,2024-01-01,CUST-00797,PROD-0317,Pens Set,Office Supplies,1,128.78,0.05,122.34,Asia Pacific
ORD-003101,2024-01-01,CUST-00259,PROD-6308,Smartwatch,Electronics,1,1067.69,0.0,1067.69,Middle East
ORD-004151,2024-01-01,CUST-00937,PROD-6308,Smartwatch,Electronics,1,1075.67,0.0,1075.67,Latin America
ORD-000646,2024-01-01,CUST-00964,PROD-0317,Pens Set,Office Supplies,3,98.75,0.0,296.24,Asia Pacific
ORD-002038,2024-01-01,CUST-00740,PROD-8992,Cloud Storage,Software,3,963.14,0.15,2456.0,Asia Pacific
ORD-002390,2024-01-01,CUST-00426,PROD-8729,Security Tools,Software,2,440.77,0.1,793.38,Asia Pacific
ORD-002420,2024-01-01,CUST-00466,PROD-4871,Organizer,Office Supplies,1,137.24,0.15,116.65,North America
ORD-000004,2024-01-01,CUST-00253,PROD-6302,Printer,Office Supplies,2,198.6,0.05,377.34,North America
ORD-003484,2024-01-01,CUST-00208,PROD-9042,Filing Cabinet,Furniture,1,1358.74,0.1,1222.86,Europe
ORD-002337,2024-01-01,CUST-00652,PROD-9308,Bookshelf,Furniture,2,1451.49,0.1,2612.68,Latin America
ORD-002295,2024-01-01,CUST-00980,PROD-7101,Office Chair,Furniture,2,890.5,0.0,1781.0,Asia Pacific
ORD-000533,2024-01-01,CUST-00881,PROD-2368,Smartphone X,Electronics,3,1271.75,0.05,3624.48,Latin America
ORD-002778,2024-01-01,CUST-00553,PROD-7101,Office Chair,Furniture,1,1039.32,0.0,1039.32,Middle East
